,fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,wind_height,side_to_start_ignition,number_igniters,firing_technique,ignition_type,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
0,3023,14,0.35287120938301086,0.07280569523572922,0.038869306445121765,0.1,0.9,5.0,345.0,20.0,right,3,strip,dashes,4.571776897287412,4.571776897287412,3.047851264858275,9.143553794574824,0.8940545373267769,558.8497360359717
1,3023,14,0.37233448028564453,0.11329588294029236,0.06032869964838028,0.1,0.9,5.0,15.0,20.0,right,3,strip,dashes,4.571776897287412,4.571776897287412,3.047851264858275,9.143553794574824,0.8940545373267769,558.8497360359717
2,3023,14,0.33219245076179504,0.0710403099656105,0.03325214236974716,0.1,0.9,5.0,0.0,20.0,right,3,strip,dashes,4.571776897287412,4.571776897287412,3.047851264858275,9.143553794574824,0.8940545373267769,558.8497360359717
3,2209,2807,0.15486690402030945,0.04759204760193825,0.0006529645761474967,0.1,0.9,7.0,0.0,20.0,right,3,ring,dashes,49.0,49.0,3.047851264858275,9.143553794574824,7.0,636.3366239679444
4,2209,2807,0.14003008604049683,0.04033638909459114,0.00033396182698197663,0.1,0.9,7.0,15.0,20.0,right,3,ring,dashes,49.0,49.0,3.047851264858275,9.143553794574824,7.0,636.3366239679444
5,2209,2807,0.1282026767730713,0.03928402438759804,0.00570801692083478,0.1,0.9,7.0,345.0,20.0,right,3,ring,dashes,49.0,49.0,3.047851264858275,9.143553794574824,7.0,636.3366239679444
6,644,79,0.6394041180610657,0.3757573962211609,0.0032233165111392736,0.1,0.9,2.235,105.0,,right,3,strip,dashes,4.0,4.0,10.0,30.0,4.0,421.7949865853615
7,644,79,0.6541844606399536,0.3431849777698517,0.0025895896833389997,0.1,0.9,2.235,90.0,,right,3,strip,dashes,4.0,4.0,10.0,30.0,4.0,421.7949865853615
8,644,79,0.622063398361206,0.3448002338409424,0.0035815888550132513,0.1,0.9,2.235,75.0,,right,3,strip,dashes,4.0,4.0,10.0,30.0,4.0,421.7949865853615
9,569,14,0.34034350514411926,0.07318327575922012,0.05217375606298447,0.08,0.9,3.129,105.0,,right,3,strip,dashes,4.0,4.0,10.0,10.0,4.0,405.9531142512609
10,569,14,0.38355177640914917,0.09472069144248962,0.04176018759608269,0.08,0.9,3.129,75.0,,right,3,strip,dashes,4.0,4.0,10.0,10.0,4.0,405.9531142512609
11,569,14,0.3976983428001404,0.10197019577026367,0.060978058725595474,0.08,0.9,3.129,90.0,,right,3,strip,dashes,4.0,4.0,10.0,10.0,4.0,405.9531142512609
12,608,14,0.2874629497528076,0.07321401685476303,0.01770443469285965,0.1,0.9,2.235,75.0,,right,3,strip,dashes,4.0,4.0,10.0,10.0,4.0,405.9531142512609
13,608,14,0.27466803789138794,0.08084172010421753,0.027979064732789993,0.1,0.9,2.235,90.0,,right,3,strip,dashes,4.0,4.0,10.0,10.0,4.0,405.9531142512609
14,608,14,0.3135688006877899,0.07744037359952927,0.012745589949190617,0.1,0.9,2.235,105.0,,right,3,strip,dashes,4.0,4.0,10.0,10.0,4.0,405.9531142512609
15,641,684,0.8819288611412048,0.5018793940544128,0.16197733581066132,0.05,1.0,4.47,270.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
16,641,684,0.7327263951301575,0.40180620551109314,0.13304172456264496,0.1,1.0,4.47,255.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
17,641,684,0.7418498396873474,0.4001781642436981,0.1287992149591446,0.1,1.0,4.47,270.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
18,641,684,0.5528279542922974,0.2991160452365875,0.12492012232542038,0.1,1.0,2.235,270.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
19,641,684,0.7486437559127808,0.4069896638393402,0.13144458830356598,0.1,1.0,4.47,285.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
20,641,684,0.8021718263626099,0.47670039534568787,0.17558328807353973,0.05,1.0,2.235,270.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
21,641,684,0.7987150549888611,0.4705817699432373,0.17614802718162537,0.05,1.0,2.235,255.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
22,641,684,0.8031833171844482,0.4785568416118622,0.17716804146766663,0.05,1.0,2.235,285.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
23,641,684,0.5626991987228394,0.30676931142807007,0.12631896138191223,0.1,1.0,2.235,285.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
24,641,684,0.8803861141204834,0.49980470538139343,0.1654592752456665,0.05,1.0,4.47,255.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
25,641,684,0.8833499550819397,0.5017428994178772,0.1661512553691864,0.05,1.0,4.47,285.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
26,641,684,0.5403082370758057,0.2903597056865692,0.12429121136665344,0.1,1.0,2.235,255.0,,right,3,strip,dashes,4.0,4.0,50.0,10.0,4.0,14430.934206584512
27,2482,36,0.7225446105003357,0.43869370222091675,0.2548989951610565,0.1,0.9,5.0,0.0,20.0,right,3,strip,dashes,15.0,15.0,3.047851264858275,9.143553794574824,2.0,922.5606274871526
28,2482,36,0.7000638246536255,0.4681034982204437,0.1384110301733017,0.1,0.9,5.0,345.0,20.0,right,3,strip,dashes,15.0,15.0,3.047851264858275,9.143553794574824,2.0,922.5606274871526
