,fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,side_to_start_ignition,number_igniters,firing_technique,ignition_type,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
0,7,14,0.522515058517456,0.0019415471469983459,0.006009026430547237,0.1,0.9,2.235,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,0.894054537326777,405.9531142512609
1,7,14,0.5530030727386475,0.030594171956181526,0.009345494210720062,0.1,0.9,2.235,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,0.894054537326777,405.9531142512609
2,7,14,0.5359755754470825,0.00724118622019887,0.015112167224287987,0.1,0.9,2.235,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,0.894054537326777,405.9531142512609
3,48,39,0.4045383632183075,0.0185867752879858,0.0061760153621435165,0.15,0.9,2.235,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
4,48,39,0.726653516292572,0.050382860004901886,0.027846576645970345,0.1,0.9,2.235,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
5,48,39,0.2951538860797882,0.01022061426192522,0.006376699078828096,0.2,0.9,2.235,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
6,48,39,0.3124755918979645,0.013086863793432713,0.0018765139393508434,0.2,0.9,6.705,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
7,48,39,0.8311238884925842,0.0705266073346138,0.019546564668416977,0.1,0.9,6.705,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
8,48,39,0.4282796382904053,0.026619913056492805,0.003515077056363225,0.15,0.9,4.47,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
9,48,39,0.7894799113273621,0.0597928985953331,0.023101478815078735,0.1,0.9,4.47,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
10,48,39,0.29416099190711975,0.013706430792808533,0.0050390553660690784,0.2,0.9,4.47,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
11,48,39,0.8372371792793274,0.08624288439750671,0.021077075973153114,0.1,0.9,6.705,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
12,48,39,0.8438758850097656,0.07037559896707535,0.027641501277685165,0.1,0.9,6.705,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
13,48,39,0.3004746437072754,0.01366096269339323,0.0021319203078746796,0.2,0.9,6.705,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
14,48,39,0.5592424273490906,0.038301169872283936,0.004669920541346073,0.15,0.9,6.705,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
15,48,39,0.789072573184967,0.07967852056026459,0.030572088435292244,0.1,0.9,4.47,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
16,48,39,0.7936696410179138,0.076523058116436,0.01624320261180401,0.1,0.9,4.47,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
17,48,39,0.405046284198761,0.017256347462534904,0.006470080465078354,0.15,0.9,2.235,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
18,48,39,0.2925209403038025,0.010483275167644024,0.0031719650141894817,0.2,0.9,6.705,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
19,48,39,0.2988208830356598,0.013904559426009655,0.010460416786372662,0.2,0.9,2.235,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
20,48,39,0.5351567268371582,0.03185155242681503,0.0032726284116506577,0.15,0.9,6.705,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
21,48,39,0.45429059863090515,0.029594076797366142,0.004951563663780689,0.15,0.9,4.47,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
22,48,39,0.305775910615921,0.01184147223830223,0.006898434832692146,0.2,0.9,4.47,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
23,48,39,0.2958250045776367,0.01183032151311636,0.0041083479300141335,0.2,0.9,4.47,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
24,48,39,0.7325287461280823,0.059767864644527435,0.014707122929394245,0.1,0.9,2.235,90.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
25,48,39,0.5359728932380676,0.02896091341972351,0.00834798626601696,0.15,0.9,6.705,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
26,48,39,0.2930485010147095,0.012854778207838535,0.0019207415170967579,0.2,0.9,2.235,60.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
27,48,39,0.4413275718688965,0.021218780428171158,0.006682330276817083,0.15,0.9,4.47,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
28,48,39,0.7396368384361267,0.04087461531162262,0.022714031860232353,0.1,0.9,2.235,120.0,right,3,strip,dashes,4.0,4.0,10.0,10.0,2.235136343316942,9893.70241304779
