fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,side_to_start_ignition,number_igniters,firing_technique,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
54,41,0.968562662601471,0.25764787197113037,0.022615225985646248,0.1,0.9,2.235,90.0,right,3,strip,4.0,4.0,10.0,10.0,2.0,5863.046877446321
54,41,0.9693431258201599,0.23902803659439087,0.023099904879927635,0.1,0.9,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,2.0,5863.046877446321
54,41,0.9666581153869629,0.2686130106449127,0.022432683035731316,0.1,0.9,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,2.0,5863.046877446321
52,40,0.9812050461769104,0.32557833194732666,0.002728586085140705,0.25,1.0,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9814903140068054,0.38095834851264954,0.0039277891628444195,0.15,0.9,4.47,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9721450209617615,0.4907630980014801,0.01305000763386488,0.25,1.0,4.47,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9775877594947815,0.42255234718322754,0.006348090246319771,0.2,1.0,4.47,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9927046298980713,0.13179722428321838,0.0005484760040417314,0.1,1.0,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9709501266479492,0.4436977803707123,0.006327727343887091,0.25,0.9,4.47,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9785848259925842,0.3884407877922058,0.003459011670202017,0.15,0.9,4.47,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9660444855690002,0.5197019577026367,0.00828997977077961,0.25,1.0,6.705,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.986987829208374,0.2918187975883484,0.0021621559280902147,0.1,1.0,4.47,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9910767674446106,0.17185944318771362,0.0031347430776804686,0.15,0.9,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9699909090995789,0.4912102222442627,0.007645821664482355,0.2,1.0,6.705,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9843559265136719,0.314988374710083,0.006569341756403446,0.25,0.9,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9773355722427368,0.4143158197402954,0.00391924986615777,0.2,1.0,4.47,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9665377736091614,0.435825914144516,0.004483052529394627,0.25,1.0,6.705,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9850968718528748,0.35676249861717224,0.0017316953744739294,0.1,0.9,6.705,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9791991710662842,0.3979065418243408,0.003588412655517459,0.1,1.0,6.705,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9877058267593384,0.28465041518211365,0.0017997896065935493,0.1,0.9,4.47,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9798075556755066,0.3845269978046417,0.004086310509592295,0.15,1.0,4.47,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9867467284202576,0.2675308585166931,0.0015543438494205475,0.2,0.9,2.235,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9839841723442078,0.3484552204608917,0.0018970045493915677,0.1,0.9,6.705,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9922387599945068,0.13067293167114258,0.0008304868824779987,0.1,0.9,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9901340007781982,0.17405135929584503,0.0007065597455948591,0.15,0.9,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9879031777381897,0.2892354130744934,0.001242555445060134,0.1,0.9,4.47,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9755816459655762,0.40912607312202454,0.004404448438435793,0.2,0.9,6.705,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9893336892127991,0.20156607031822205,0.0009073392138816416,0.15,1.0,2.235,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9798344373703003,0.3423404395580292,0.007577508222311735,0.25,0.9,2.235,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9983830451965332,0.1231563612818718,0.0015433962689712644,0.1,1.0,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.971772313117981,0.4130924940109253,0.003160798456519842,0.2,1.0,6.705,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9827883839607239,0.32527005672454834,0.003394420724362135,0.25,0.9,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9791169762611389,0.3822956383228302,0.0028921435587108135,0.15,0.9,6.705,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9765463471412659,0.4121730625629425,0.004436196759343147,0.2,0.9,4.47,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9855353832244873,0.2826785743236542,0.002194998785853386,0.1,1.0,4.47,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9724080562591553,0.4462372362613678,0.00641946867108345,0.25,1.0,4.47,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9737728834152222,0.4482455849647522,0.005095462780445814,0.25,1.0,6.705,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9868065118789673,0.23176446557044983,0.0014755208976566792,0.2,0.9,2.235,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9930225014686584,0.1303650438785553,0.0017290679970756173,0.1,0.9,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9912192225456238,0.1782933622598648,0.004195129964500666,0.15,1.0,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.973471462726593,0.4612865149974823,0.005458485800772905,0.15,1.0,6.705,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9927046298980713,0.19656695425510406,0.0008033367339521646,0.15,0.9,2.235,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9845094680786133,0.3757338523864746,0.0027988699730485678,0.1,0.9,6.705,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.981966495513916,0.31660354137420654,0.0062119015492498875,0.25,1.0,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9740195870399475,0.44041600823402405,0.00784375425428152,0.2,0.9,4.47,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9751760959625244,0.4492588937282562,0.004756305366754532,0.15,0.9,6.705,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9766943454742432,0.4191991090774536,0.003368584206327796,0.2,1.0,6.705,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9851187467575073,0.31628674268722534,0.001858687843196094,0.1,0.9,4.47,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9777631163597107,0.39567166566848755,0.0033313625026494265,0.15,0.9,6.705,120.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.986729621887207,0.22404581308364868,0.0019035730510950089,0.2,1.0,2.235,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9842568635940552,0.3396815359592438,0.00561022013425827,0.25,1.0,2.235,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9714434742927551,0.4871455729007721,0.016621999442577362,0.25,0.9,4.47,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9678532481193542,0.5108878016471863,0.009154623374342918,0.25,0.9,6.705,60.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
52,40,0.9742552042007446,0.44547605514526367,0.004783236421644688,0.25,0.9,6.705,90.0,right,3,strip,4.0,4.0,10.0,10.0,0.0,23651.895218686554
